model,source,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_f1,test_roc_auc
logistic_regression,baseline_script,0.7338973090256927,0.012508029839195235,0.7324969350831577,0.015274331277363237,0.8106032562700415,0.008135994489529235,0.7186234817813765,0.7208835341365462,0.8060288483209377
random_forest,baseline_script,0.7273167119032179,0.01301697778827958,0.7253152599770853,0.01670824730857873,0.7997578609921407,0.009922566392244024,0.7135627530364372,0.7123983739837398,0.8013379228389371
mlp,mlp_script,0.7301001609300314,0.011908983365364244,0.7253358787493014,0.014353162750288907,0.8099655695168384,0.009311334433116325,0.7145748987854251,0.7116564417177914,0.8046253611162334
